id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,popularity,release_date,album_id,album_name,track_number,preview_url
60glT2wsoSHV3B8yCRSB8v,0.567,0.961,7,-4.084,1,0.0572,0.00139,3.7e-05,0.102,0.669,151.92,215531,4,False,73,2023-06-28,1PWKDjoZgljWTZJ7HCL4Ja,We Didn’t Start The Fire,1,https://p.scdn.co/mp3-preview/39cb4ffd2b94e20533913ea52cff60054ea0f118?cid=29942d75c20b46b9b01eb4cd31edff20
6tCmZiMZDwAYSfjnArGG48,0.506,0.598,1,-8.476,1,0.415,0.000431,0.0,0.105,0.222,169.717,215600,4,True,54,2023-06-23,6qElaeK7SHsEzb8uV8eG3D,BUSINESS IS BUSINESS,14,https://p.scdn.co/mp3-preview/9854a7eb9052af7e0720e180b2d34f1f760f6b15?cid=29942d75c20b46b9b01eb4cd31edff20
7nGY6TG3NF8MNdUOT2wJA4,0.638,0.557,1,-7.391,1,0.126,0.000959,0.0,0.0921,0.102,160.081,192048,4,True,72,2023-08-18,61Bs2ccx3QlNk6wH1tMwtI,F*ck U Thought,1,https://p.scdn.co/mp3-preview/4236eaaee1e392ad5399e51cbb3fc7be89eda603?cid=29942d75c20b46b9b01eb4cd31edff20
5leAk8qQS6HGWwEvpyWSqd,0.673,0.873,2,-3.753,1,0.43,0.178,0.0,0.35,0.547,164.263,187345,4,True,64,2023-05-12,1rBIdADJWSisiYXHRdw1v2,Richest Opp,9,
1zVsw1SqQKgtzE4aqmE8nE,0.482,0.955,1,-2.626,0,0.119,0.147,0.0,0.406,0.834,165.512,213234,4,False,68,2023-05-26,2t5eAUqMwN0Kb2JGTxW2w0,Idol,1,https://p.scdn.co/mp3-preview/88313f8d242e33ffe0e9eba2838608fadf2a590a?cid=29942d75c20b46b9b01eb4cd31edff20
5NwIKgROiSR14zlXdXDMXT,0.339,0.807,6,-5.483,1,0.0325,0.00439,0.0,0.0925,0.368,84.511,167707,4,False,43,2023-04-28,2WSeZEFsZKPJQ09abZCIaz,NATE SMITH (DELUXE),13,https://p.scdn.co/mp3-preview/bacc76960c2cb2d08063d17af77c4c660e9ac324?cid=29942d75c20b46b9b01eb4cd31edff20
4jbBxHGnP9tEYfkWtTfarE,0.693,0.631,9,-6.105,1,0.057,0.0827,8.65e-05,0.194,0.362,118.008,233279,4,False,30,2023-01-20,0bTnYKeASx4Fjaf2ez2Us3,Welcome To My Island (Remix),3,https://p.scdn.co/mp3-preview/704051037d96593f1a28b547d8eb665c0ab75a35?cid=29942d75c20b46b9b01eb4cd31edff20
3promGTTwsn1N5D6RzaFMV,0.71,0.525,2,-6.477,1,0.311,0.0827,0.0,0.0661,0.903,75.171,118400,4,True,64,2021-01-08,7kpMsNJoM5X8kntRP4OzFg,I'm not Pretty,1,
7yYEjNpKyK8Ljpp2hHM9Hr,0.627,0.739,7,-5.854,1,0.0538,0.617,0.0516,0.117,0.366,100.111,286233,4,False,47,2023-09-12,6sjxSwwrxv6xcIv8tX6btk,Ganaraj Gajanan,1,https://p.scdn.co/mp3-preview/76f3adbe54eed997aa462974660ea5d7212df967?cid=29942d75c20b46b9b01eb4cd31edff20
1E5Pht0fZ1f3VGWry18MrQ,0.537,0.782,7,-5.736,0,0.0596,0.0342,2.65e-05,0.354,0.114,119.748,171253,4,False,3,2023-03-21,3oaW6fjLbqfuBXlHYT4X06,Danskalas,5,
4CiVz4bw7X1zjCaJ5ZwxUS,0.395,0.784,10,-5.903,0,0.132,0.0135,0.0,0.213,0.353,161.946,203948,4,True,78,2023-01-31,5SjHojBg6zfZHMqWYjFzFE,Watch The World Burn,1,https://p.scdn.co/mp3-preview/ba93462ec989edfa0b96c4a05c9d08550349dc5b?cid=29942d75c20b46b9b01eb4cd31edff20
3V3VNnnTJcrfZudQFGfAP1,0.392,0.487,7,-5.899,1,0.045,0.29,0.0,0.102,0.38,162.071,175480,4,False,56,2023-04-28,2WSeZEFsZKPJQ09abZCIaz,NATE SMITH (DELUXE),6,https://p.scdn.co/mp3-preview/1c67225321d910676e3562224f8cc744e36d6233?cid=29942d75c20b46b9b01eb4cd31edff20
5iE3eUH2WGCXcE2xr6DEmU,0.729,0.763,10,-4.407,1,0.0363,0.033,1e-06,0.192,0.864,126.002,145441,4,False,75,2023-04-07,7lWGbTl1g2VxxWg9fDvF99,Waffle House,1,
4l61TlfmTwxt7PdzEe28rz,0.371,0.714,5,-5.455,0,0.145,0.127,0.0,0.12,0.325,181.367,118994,3,False,59,2023-02-24,1gZbP4bJhkyyompPUyfAdj,Wings,1,
6OklSp2KgnW8RWNdQ7n8o1,0.593,0.591,2,-8.43,1,0.0458,0.295,0.00918,0.289,0.482,98.976,141012,4,False,65,2023-07-07,2T7LuxZRr6SQMgABLtoYTH,Sunburn,4,https://p.scdn.co/mp3-preview/0c8833002b3c6722f629799bdd94d4db0eb02e0a?cid=29942d75c20b46b9b01eb4cd31edff20
7J6ZI2YKLJ8DUY2XFREHvL,0.7,0.885,9,-4.106,0,0.0531,0.0442,0.00698,0.0836,0.777,125.017,165151,4,False,59,2023-03-09,5qlydNF8Z6kousaKWE5jRB,I Wrote A Song,1,
1IIRLevcO06GJ2w83UNCMi,0.487,0.796,9,-4.656,1,0.0393,0.00329,0.0,0.347,0.33,156.11,182640,4,False,38,2023-04-28,2WSeZEFsZKPJQ09abZCIaz,NATE SMITH (DELUXE),16,https://p.scdn.co/mp3-preview/4518a4884013f961e994422df932efb3f79fa2b6?cid=29942d75c20b46b9b01eb4cd31edff20
5o4XJKRxUK6nXhFLAIS33A,0.284,0.755,1,-3.145,0,0.05,0.00335,0.00195,0.103,0.199,93.384,214067,4,False,80,2023-09-13,4jLwuz6VaUKuIiS799cU2z,Gimme Love,1,https://p.scdn.co/mp3-preview/57e9bf4aa940cf787d4ee5b4927620efa79b2463?cid=29942d75c20b46b9b01eb4cd31edff20
2mLV96M3Ee4oQzShI2CwAK,0.75,0.637,2,-6.557,1,0.027,0.299,0.0743,0.126,0.459,124.057,232247,4,False,49,2023-04-06,0zCeZc7mhxfKvQRawdS8wr,i/o (Bright-Side Mix),1,
2iNmegOcdmt4peYrh9S8qI,0.499,0.608,7,-7.2,0,0.0767,0.0919,8.31e-05,0.186,0.53,91.884,155862,4,False,76,2023-03-30,6Ti9115Odt4vwKJTCdG5WN,Jagger.mp3,1,https://p.scdn.co/mp3-preview/3260f0d4c15f95adbca868d3009cc7966b02db54?cid=29942d75c20b46b9b01eb4cd31edff20
1fOmmZ1T1qHyhx5yt5IOS2,0.768,0.765,1,-5.398,1,0.171,0.0215,0.000133,0.148,0.756,88.154,175947,4,False,49,2023-03-03,6K5RX7xasf8WdeQjapsThS,BEN,6,https://p.scdn.co/mp3-preview/3cb4929fa36a511b80a6577f469d3ab091da7d34?cid=29942d75c20b46b9b01eb4cd31edff20
4A36Q1EDsHuKUvhtpAVh0i,0.431,0.607,1,-6.471,1,0.0319,0.0229,0.0,0.0911,0.332,161.968,201280,4,False,39,2023-04-28,2WSeZEFsZKPJQ09abZCIaz,NATE SMITH (DELUXE),18,https://p.scdn.co/mp3-preview/be1ef532f3351ea91b5eae310072e1cab3bc8243?cid=29942d75c20b46b9b01eb4cd31edff20
63ZSZznbGQhzJhOHPZ6WkT,0.747,0.802,11,-5.859,1,0.0346,0.0117,0.0102,0.275,0.552,120.012,175247,4,False,65,2023-06-23,5c56JYNgc48iDnwHHlOcye,chemistry,7,https://p.scdn.co/mp3-preview/8a9da38b085da792d591fae20976ad7ea4a6678b?cid=29942d75c20b46b9b01eb4cd31edff20
6Ahy5fItdBfXRVWYOLo7pM,0.513,0.788,10,-4.613,0,0.029,0.00056,1.85e-05,0.174,0.625,104.022,225360,4,False,71,2023-03-31,12n7yWhXKfnjn0HMEcrNj9,Fires Don't Start Themselves,1,
60ewVMmFN7yaCRj1B4xKoS,0.653,0.697,5,-6.878,1,0.0454,0.176,8.18e-05,0.114,0.151,126.007,190476,4,False,58,2023-05-19,1UXk3tqoiztm67jUI7muv9,Hero (feat. Sasha Alex Sloan) [VIP Mix],1,https://p.scdn.co/mp3-preview/563d0c804f3ca365ad2cc15a2c98b2a605afbd45?cid=29942d75c20b46b9b01eb4cd31edff20
0SVAvISGgIO7HHkuBgCjcF,0.754,0.78,0,-10.083,0,0.19,0.0846,0.0,0.23,0.832,140.037,230200,4,True,26,2021-04-14,3VuZPeMMr7MII5oEpO1cO2,The Elon Musk Song,1,https://p.scdn.co/mp3-preview/bb9c2419ff182cc97a8e3364c75e5fbc3839f62d?cid=29942d75c20b46b9b01eb4cd31edff20
589aAz8258JEsMwpJglalU,0.497,0.869,11,-4.046,1,0.0319,0.000303,0.00794,0.067,0.284,120.41,670253,4,False,55,2023-04-14,6UwjRSX9RQyNgJ3LwYhr9i,72 Seasons,12,
6G4q8Qb7CQP5gVtzQNK0zT,0.68,0.659,8,-8.447,1,0.237,0.0344,0.000205,0.205,0.157,136.944,260111,4,False,82,2023-10-05,35nmDyrcnDY4B1ISYpKEEs,For All The Dogs,7,
0J1YRLYhTG1MBosjidD7OI,0.753,0.669,7,-4.914,0,0.104,0.0378,0.0,0.122,0.584,140.948,247469,4,True,75,2023-08-04,42dnGUpj3OEU4anDNW69j3,Good Good,1,https://p.scdn.co/mp3-preview/5c4da4a4cf896268e243f545f81575986c9d2948?cid=29942d75c20b46b9b01eb4cd31edff20
0mw1bEX0GYt1txWBjwGmRJ,0.56,0.794,5,-6.12,1,0.048,0.0206,6.63e-06,0.131,0.767,168.012,199147,4,False,53,2023-09-15,2mPSmGrWTnWuND6i6CwgWE,When the Rain Comes,1,https://p.scdn.co/mp3-preview/14dba1e12762ba198d5ede93a32d0919eb564b7a?cid=29942d75c20b46b9b01eb4cd31edff20
6ALiIRPSgKaMRu5PDBZvN8,0.589,0.601,1,-6.882,0,0.201,0.00307,0.0,0.0976,0.439,159.871,156262,4,True,58,2023-05-26,6ciIG1XKTlVIn0Yl8rvsce,Almost Healed,8,https://p.scdn.co/mp3-preview/f3885c4377d3eb94744c7c1c0e9105d1e147227a?cid=29942d75c20b46b9b01eb4cd31edff20
7iUvtFAYg293pzSfKNBGlG,0.687,0.783,4,-2.124,1,0.033,0.246,0.0,0.153,0.245,102.023,201733,4,False,62,2023-09-25,3dYzgkq8CgNH72HHYmNfCQ,Kiss Me (feat. Rina Sawayama),1,https://p.scdn.co/mp3-preview/866012baf012be6c4516c656e8c357ab93b4224d?cid=29942d75c20b46b9b01eb4cd31edff20
54jTwGhfW2TNk9zqxGHjLW,0.524,0.952,1,-3.994,1,0.05,0.000701,0.0,0.793,0.553,122.07,156733,4,False,41,2023-04-28,2WSeZEFsZKPJQ09abZCIaz,NATE SMITH (DELUXE),11,https://p.scdn.co/mp3-preview/75ff5e6b6b3531eefc53cccfbea3f9f7c228c48f?cid=29942d75c20b46b9b01eb4cd31edff20
